"Time [s]";"Pressure [mmHg]";
12.83;125.20;
12.84;125.25;
12.85;125.19;
12.86;125.20;
12.87;125.27;
12.88;125.28;
12.89;125.33;
12.90;125.33;
12.91;125.25;
12.92;125.22;
12.93;125.38;
12.94;125.31;
12.95;125.17;
12.96;125.25;
12.97;125.22;
12.98;125.12;
12.99;125.44;
13.00;125.20;
13.01;125.23;
13.02;125.30;
13.03;125.14;
13.04;125.30;
13.05;125.09;
13.06;125.19;
13.07;125.23;
13.08;125.14;
13.09;125.08;
13.10;125.17;
13.11;125.30;
13.12;125.23;
13.13;125.17;
13.14;125.12;
13.15;125.19;
13.16;125.38;
13.17;125.27;
13.18;125.33;
13.19;125.22;
13.20;125.39;
13.21;125.61;
13.22;125.84;
13.23;125.88;
13.24;126.02;
13.25;125.73;
13.26;125.50;
13.27;125.16;
13.28;125.38;
13.29;125.45;
13.30;125.42;
13.31;125.38;
13.32;125.38;
13.33;125.25;
13.34;125.05;
13.35;125.08;
13.36;124.91;
13.37;124.72;
13.38;124.75;
13.39;124.97;
13.40;125.06;
13.41;125.14;
13.42;124.95;
13.43;125.11;
13.44;125.08;
13.45;124.78;
13.46;124.91;
13.47;125.22;
13.48;125.17;
13.49;125.02;
13.50;125.05;
13.51;125.31;
13.52;125.23;
13.53;125.19;
13.54;125.31;
13.55;125.36;
13.56;125.39;
13.57;125.25;
13.58;125.38;
13.59;125.33;
13.60;125.33;
13.61;125.03;
13.62;124.56;
13.63;123.97;
13.64;123.53;
13.65;123.41;
13.66;123.05;
13.67;122.92;
13.68;122.88;
13.69;122.84;
13.70;122.78;
13.71;122.67;
13.72;122.55;
13.73;122.84;
13.74;122.77;
13.75;122.81;
13.76;122.77;
13.77;122.77;
13.78;122.83;
13.79;122.70;
13.80;122.67;
13.81;122.89;
13.82;122.89;
13.83;122.91;
13.84;122.81;
13.85;122.88;
13.86;122.78;
13.87;122.81;
13.88;122.94;
13.89;122.83;
13.90;122.78;
13.91;122.61;
13.92;122.86;
13.93;122.98;
13.94;123.03;
13.95;123.08;
13.96;122.84;
13.97;122.88;
13.98;123.08;
13.99;122.97;
14.00;122.92;
14.01;122.84;
14.02;122.81;
14.03;122.98;
14.04;123.02;
14.05;122.91;
14.06;122.89;
14.07;122.78;
14.08;122.92;
14.09;122.80;
14.10;122.78;
14.11;123.09;
14.12;123.00;
14.13;122.95;
14.14;123.08;
14.15;123.12;
14.16;123.48;
14.17;123.75;
14.18;123.61;
14.19;123.64;
14.20;123.22;
14.21;123.09;
14.22;123.25;
14.23;123.06;
14.24;123.14;
14.25;123.09;
14.26;123.00;
14.27;122.92;
14.28;122.75;
14.29;122.70;
14.30;122.75;
14.31;122.52;
14.32;122.55;
14.33;122.72;
14.34;122.81;
14.35;122.73;
14.36;122.66;
14.37;122.70;
14.38;122.67;
14.39;122.73;
14.40;122.81;
14.41;122.83;
14.42;123.00;
14.43;122.89;
14.44;122.91;
14.45;123.11;
14.46;123.12;
14.47;123.09;
14.48;123.03;
14.49;123.17;
14.50;123.19;
14.51;123.28;
14.52;123.22;
14.53;123.11;
14.54;123.31;
14.55;123.00;
14.56;122.89;
14.57;122.77;
14.58;122.80;
14.59;122.64;
14.60;122.58;
14.61;122.67;
14.62;122.69;
14.63;122.61;
14.64;122.61;
14.65;122.91;
14.66;122.70;
14.67;122.61;
14.68;122.73;
14.69;122.73;
14.70;122.86;
14.71;122.75;
14.72;122.56;
14.73;122.75;
14.74;122.77;
14.75;122.92;
14.76;122.83;
14.77;122.73;
14.78;122.83;
14.79;122.77;
14.80;122.98;
14.81;122.78;
14.82;122.73;
14.83;122.84;
14.84;122.98;
14.85;122.81;
14.86;122.78;
14.87;122.73;
14.88;122.88;
14.89;122.77;
14.90;122.83;
14.91;122.89;
14.92;122.81;
14.93;122.84;
14.94;122.88;
14.95;122.84;
14.96;122.88;
14.97;122.81;
14.98;122.91;
14.99;122.92;
15.00;122.89;
15.01;122.75;
15.02;122.89;
15.03;122.73;
15.04;122.84;
15.05;122.72;
15.06;122.83;
15.07;122.89;
15.08;122.89;
15.09;122.94;
15.10;122.94;
15.11;123.06;
15.12;123.14;
15.13;123.38;
15.14;123.56;
15.15;123.72;
15.16;123.47;
15.17;123.11;
15.18;123.17;
15.19;123.02;
15.20;123.11;
15.21;123.08;
15.22;123.20;
15.23;122.95;
15.24;122.91;
15.25;122.75;
15.26;122.61;
15.27;122.59;
15.28;122.47;
15.29;122.59;
15.30;122.44;
15.31;122.70;
15.32;122.56;
15.33;122.69;
15.34;122.62;
15.35;122.77;
15.36;122.62;
15.37;122.73;
15.38;122.80;
15.39;122.61;
15.40;122.78;
15.41;122.86;
15.42;122.92;
15.43;122.89;
15.44;122.98;
15.45;122.97;
